Order ID,Order Date,Year,Month Number,Month Name,order_time,Order Period,Pizza ID,pizza_name,pizza_name_id,pizza_category,pizza_size,Size Order,Unit  Price,Quantity,Total Revenue,pizza_ingredients
1,01-01-2015,2015,1,January,31-12-1899 11:38:36,Morning,1,The Hawaiian Pizza,hawaiian_m,Classic,Medium,2,13.25,1,13.25,"Sliced Ham, Pineapple, Mozzarella Cheese"
2,01-01-2015,2015,1,January,31-12-1899 11:57:40,Morning,2,The Classic Deluxe Pizza,classic_dlx_m,Classic,Medium,2,16,1,16,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
3,01-01-2015,2015,1,January,31-12-1899 12:12:28,Afternoon,7,The Italian Supreme Pizza,ital_supr_m,Supreme,Medium,2,16.5,1,16.5,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
4,01-01-2015,2015,1,January,31-12-1899 12:16:31,Afternoon,9,The Italian Supreme Pizza,ital_supr_m,Supreme,Medium,2,16.5,1,16.5,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
5,01-01-2015,2015,1,January,31-12-1899 12:21:30,Afternoon,10,The Italian Supreme Pizza,ital_supr_m,Supreme,Medium,2,16.5,1,16.5,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
6,01-01-2015,2015,1,January,31-12-1899 12:29:36,Afternoon,11,The Barbecue Chicken Pizza,bbq_ckn_s,Chicken,Small,1,12.75,1,12.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
7,01-01-2015,2015,1,January,31-12-1899 12:50:37,Afternoon,13,The Spinach Supreme Pizza,spinach_supr_s,Supreme,Small,1,12.5,1,12.5,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
8,01-01-2015,2015,1,January,31-12-1899 12:51:37,Afternoon,14,The Spinach Supreme Pizza,spinach_supr_s,Supreme,Small,1,12.5,1,12.5,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
9,01-01-2015,2015,1,January,31-12-1899 12:52:01,Afternoon,15,The Classic Deluxe Pizza,classic_dlx_s,Classic,Small,1,12,1,12,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
10,01-01-2015,2015,1,January,31-12-1899 13:00:15,Afternoon,24,The Mexicana Pizza,mexicana_l,Veggie,Large,3,20.25,1,20.25,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
